,date,total_confirmed,new_confirmed,new_confirmed_after_fft,total_deaths,new_deaths,new_death_after_fft,total_recovered
160,2020-09-21,6824754,39960,45141.413562212125,199207,260,772.9646315859918,199207
161,2020-09-22,6875393,50639,45338.126086447606,199621,414,764.7206565921755,199621
162,2020-09-23,6915938,40545,45262.60634837674,200659,1038,756.3004887963059,200659
163,2020-09-24,6953517,37579,44957.702050275315,201719,1060,748.2100502722179,201719
164,2020-09-25,7001420,47903,44485.48738210198,202621,902,740.8792144319411,202621
165,2020-09-26,7054778,53358,43921.381670863615,203536,915,734.6289056120662,203536
166,2020-09-27,7100329,45551,43347.25166230659,204314,778,729.6511223206337,204314
167,2020-09-28,7139340,39011,42844.1483523734,204613,299,726.0030930588933,204613
168,2020-09-29,7171935,32595,42485.350410803745,204943,330,723.6153685614852,204943
169,2020-09-30,7216242,44307,42330.34428917327,205858,915,722.3123206803585,205858
170,2020-10-01,7256612,40370,42420.27090226611,206805,947,721.8423797865951,206805
171,2020-10-02,7302769,46157,42775.22058016776,207729,924,721.914501158652,207729
172,2020-10-03,7358162,55393,43393.57649142529,208555,826,722.2368769619801,208555
173,2020-10-04,7409200,51038,44253.40959930372,209250,695,722.5538378318282,209250
174,2020-10-05,7443947,34747,45315.73437328435,209614,364,722.6772114482859,209614
175,2020-10-06,7482538,38591,46529.26233864053,210089,475,722.5090820848889,210089
176,2020-10-07,7527937,45399,47836.15622575023,210796,707,722.0538497748387,210796
177,2020-10-08,7578063,50126,49178.20329503599,211706,910,721.4186209260263,211706
178,2020-10-09,7637139,59076,50502.799738173446,212679,973,720.8021600639341,212679
179,2020-10-10,7694152,57013,51768.17066226664,213645,966,720.4737778784522,213645
180,2020-10-11,7750083,55931,52947.33809519334,214299,654,720.7445149111709,214299
181,2020-10-12,7796893,46810,54030.4834505143,214743,444,721.9337122051231,214743
182,2020-10-13,7839136,42243,55025.51733171,215132,389,724.3344754939222,215132
183,2020-10-14,7890390,51254,55956.85178306785,215917,785,728.1816051960756,215917
184,2020-10-15,7949592,59202,56862.55005192526,216920,1003,733.6252817781594,216920
185,2020-10-16,8014943,65351,57790.18890916347,217752,832,740.7131991579489,217752
186,2020-10-17,8084164,69221,58791.89293951082,218681,929,749.3829908804709,218681
187,2020-10-18,8141904,57740,59919.0768877571,219471,790,759.4657802015447,219471
188,2020-10-19,8193061,51157,61217.45378779555,219893,422,770.7006049588955,219893
189,2020-10-20,8260165,67104,62722.83129584001,220373,480,782.7584241589312,220373
190,2020-10-21,8322085,61920,64458.13009395386,221309,936,795.273502703609,221309
191,2020-10-22,8384801,62716,66431.92537014632,222492,1183,807.8792760235162,222492
192,2020-10-23,8461142,76341,68638.64854403376,223331,839,820.2453779302397,223331
193,2020-10-24,8544430,83288,71060.4080142361,224277,946,832.1124060787362,224277
