,date,total_confirmed,new_confirmed,new_confirmed_after_fft,total_deaths,new_deaths,new_death_after_fft,total_recovered
262,2021-01-01,1772784,17809,17021.57513518558,28066,325,184.64981619740348,1423001.0
263,2021-01-02,1782956,10172,17820.11221283385,28359,293,191.42579243806907,1435164.0
264,2021-01-03,1801181,18225,18666.229561918102,28442,83,199.84149365866617,1443061.0
265,2021-01-04,1816886,15705,19525.719892902784,28496,54,209.79244100590213,1451846.0
266,2021-01-05,1831146,14260,20362.055290530912,28570,74,221.08724031859302,1464746.0
267,2021-01-06,1864173,33027,21138.54746299649,28808,238,233.4511674130871,1488189.0
268,2021-01-07,1884799,20626,21820.597545224125,29118,310,246.53602838876228,1504643.0
269,2021-01-08,1910091,25292,22377.885606127435,29498,380,259.93611514014697,1522105.0
270,2021-01-09,1932554,22463,22786.34832386843,30128,630,273.2095462857545,1536690.0
271,2021-01-10,1951915,19361,23029.80236503421,30313,185,285.9037748321495,1549210.0
272,2021-01-11,1968189,16274,23101.09062308871,30479,166,297.58360300143005,1558945.0
273,2021-01-12,1990204,22015,23002.657636947242,30585,106,307.85971521753044,1568710.0
274,2021-01-13,2014645,24441,22746.497469304977,30895,310,316.4155581571012,1595600.0
275,2021-01-14,2040751,26106,22353.459672289016,31277,382,323.03038674505774,1612188.0
276,2021-01-15,2068637,27886,21851.94380429552,31693,416,327.5964678367905,1630778.0
277,2021-01-16,2094921,26284,21276.057088980913,32086,393,330.12878441105215,1649735.0
278,2021-01-17,2112662,17741,20663.349962437027,32428,342,330.7660919689428,1666745.0
279,2021-01-18,2127111,14449,20052.277355346214,32600,172,329.76281041954223,1677588.0
280,2021-01-19,2138190,11079,19479.55694339963,32711,111,327.47194176651254,1697272.0
281,2021-01-20,2157459,19269,18977.6072517577,33032,321,324.3199305560782,1711009.0
282,2021-01-21,2185554,28095,18572.24721458361,33491,459,320.77507039532276,1739136.0
283,2021-01-22,2208871,23317,18280.824300688342,33942,451,317.3116469259829,1763247.0
284,2021-01-23,2227789,18918,18110.91133825947,34381,439,314.3724424986762,1785578.0
285,2021-01-24,2242473,14684,18059.67438251507,34725,344,312.33246826155255,1797979.0
286,2021-01-25,2250421,7948,18113.967905747275,34911,186,311.4668080122703,1809067.0
287,2021-01-26,2269424,19003,18251.162473088585,35090,179,311.92524506636613,1818785.0
288,2021-01-27,2290621,21197,18440.65758091181,35420,330,313.7159076167611,1845210.0
289,2021-01-28,2309220,18599,18645.982345779703,35877,457,316.69953741287173,1867289.0
290,2021-01-29,2330272,21052,18827.343001066376,36292,415,320.5952058759263,1894564.0
291,2021-01-30,2348188,17916,18944.44204769124,36650,358,324.9974295144578,1912861.0
292,2021-01-31,2363266,15078,18959.37211060482,36924,274,329.40374045045326,1932694.0
293,2021-02-01,2376344,13078,18839.379882589164,37074,150,333.25091957402975,1947493.0
294,2021-02-02,2412627,36283,18559.302757909187,37245,171,335.95736885675393,1974572.0
295,2021-02-03,2431687,19060,18103.50251755327,37619,374,336.9685473974389,1993704.0
