,date,total_confirmed,new_confirmed,new_confirmed_after_fft,new_confirmed_after_sg,new_confirmed_after_convolve,total_deaths,new_deaths,new_death_after_fft,new_death_after_sg,new_death_after_convolve,total_recovered
137,2020-08-29,5928341,46809,42999.71859806335,44684.70313211963,139346.52174883717,181445,942,899.2435819239456,1014.4541349989786,2506.0098604651157,181445
138,2020-08-30,5973893,45552,42769.340738156025,43682.048139973354,137672.781172093,182428,983,876.8732911821348,1007.7696971986963,2501.43006511628,182428
139,2020-08-31,6008837,34944,42293.8074525037,42689.25887537406,136211.14493023252,182871,443,853.919704629583,1000.4977537082316,2500.913265116279,182871
140,2020-09-01,6043627,34790,41580.48944278479,41709.9924819203,135179.34701395352,183319,448,831.515943876508,992.6593889715805,2501.027088372093,183319
141,2020-09-02,6087407,43780,40662.254547416705,40747.917739762706,134301.3349209302,184380,1061,810.7560957510362,984.2776952649454,2527.83423255814,184380
142,2020-09-03,6127152,39745,39594.70568282347,39806.706405723395,133574.7028093023,185436,1056,792.6052323068125,975.377713966451,2558.239181395349,185436
143,2020-09-04,6164173,37021,38451.30530712317,38890.02456128616,132458.1496930233,186465,1029,777.8225910261349,965.9863718663576,2546.3966139534887,186465
144,2020-09-05,6215262,51089,37316.835330501934,38001.52398828852,131091.90299534885,187442,977,766.9042739116968,956.1324128496417,2526.944855813954,187442
145,2020-09-06,6259233,43971,36279.793797859675,37144.83359248045,129848.13860465116,188275,833,760.0499294976277,945.8463250749367,2512.6773581395355,188275
146,2020-09-07,6290547,31314,35424.42571047132,36323.55089474737,128161.72193488374,188709,434,757.1556349186121,935.1602639435737,2492.633153488372,188709
147,2020-09-08,6315064,24517,34823.11646450447,35541.233608796094,127004.5742139535,189020,311,757.8328079698498,924.1079710994763,2484.75248372093,189020
148,2020-09-09,6340490,25426,34529.840093508225,34801.39132422692,126385.32904186046,189483,463,761.4506714628205,912.7246896867189,2504.8801116279064,189483
149,2020-09-10,6375681,35191,34575.25462165531,34107.47731344373,125859.42954418604,190611,1128,767.197771627009,901.0470761306726,2490.898939534884,190611
150,2020-09-11,6410312,34631,34963.88305834758,33462.880480135194,124859.12744186049,191530,919,774.1564951122027,889.113108695748,2473.2294697674424,191530
151,2020-09-12,6458568,48256,35673.625519520174,32870.91746724802,123622.67106976746,192682,1152,781.3835648543122,876.9619931081968,2439.790176744186,192682
152,2020-09-13,6500846,42278,36657.63380456763,32334.82493804366,122374.32900465118,193434,752,787.9891956039776,864.6340654468663,2405.4077767441863,193434
153,2020-09-14,6535779,34933,37848.36445918244,31857.752051798587,121123.92256744184,193828,394,793.2079642774379,852.1706926313595,2382.9315720930235,193828
154,2020-09-15,6568719,32940,39163.429818037126,31442.753144321996,120379.45696744189,194249,421,796.4554451848951,839.6141707372913,2364.256781395349,194249
155,2020-09-16,6608192,39473,40512.70673350372,31092.780631390397,120494.18161860466,195455,1206,797.3661664632492,827.0076214331821,2387.203125581396,195455
156,2020-09-17,6646493,38301,41806.054066727294,30810.678148343708,120652.23828837211,196414,959,795.8103081215189,814.3948867646823,2404.3960930232556,196414
157,2020-09-18,6691943,45450,42960.9420670641,30599.173939335327,120270.14917209304,197277,863,791.8886013667686,801.8204225924651,2377.927590697675,197277
158,2020-09-19,6741352,49409,43909.31328702225,30460.874508085097,119928.53447441859,198241,964,785.9069093217489,789.3291909680922,2342.6197581395345,198241
159,2020-09-20,6784794,43442,44603.07343517925,30398.258544510973,119480.9121488372,198947,706,778.3337838746471,776.9665516286234,2284.7134139534887,198947
160,2020-09-21,6824754,39960,45017.7435599719,30413.671137962523,118821.78005581393,199207,260,769.7457394977216,764.7781529875567,2255.727367441861,199207
161,2020-09-22,6875393,50639,45153.97922535155,30509.31828414249,118505.84840930236,199621,414,760.7659386055843,752.8098227682335,2239.660613953488,199621
162,2020-09-23,6915938,40545,45036.861229558606,30687.261703266795,118660.92163720928,200659,1038,752.0023700803644,741.1074586248992,2255.15471627907,200659
163,2020-09-24,6953517,37579,44713.06717155479,30949.413969934023,119098.15847441861,201719,1060,743.9914038968016,729.716918981883,2274.870176744186,201719
164,2020-09-25,7001420,47903,44246.2246995547,31297.533969850316,119126.15263255818,202621,902,737.1518569052657,718.6839142637484,2258.399739534884,202621
165,2020-09-26,7054778,53358,43710.90795889505,31733.22268758443,119242.24811162791,203536,915,731.7534951385861,708.0538989346055,2217.6050604651155,203536
166,2020-09-27,7100329,45551,43185.85406646501,32257.919332374666,119469.34954418604,204314,778,727.902355133765,697.8719643507927,2204.6631441860472,204314
167,2020-09-28,7139340,39011,42747.036276975836,32872.897811181574,118908.9439255814,204613,299,725.5435474093254,688.1827329123494,2175.134139534884,204613
168,2020-09-29,7171935,32595,42461.23009955571,33579.2635504107,119259.02820465114,204943,330,724.4804786513238,679.0302535009953,2161.4520186046516,204943
169,2020-09-30,7216242,44307,42380.648914719044,34377.95067110041,120262.41201860463,205858,915,724.407860740367,670.4578986322651,2175.247962790698,205858
170,2020-10-01,7256612,40370,42539.11313903229,35269.71952795384,121697.72186046513,206805,947,724.9546104508281,662.5082633914508,2198.286213953488,206805
171,2020-10-02,7302769,46157,42950.06308449028,36255.15460181366,122734.48063255816,207729,924,725.7318965645819,655.2230664505298,2175.5873116279067,207729
172,2020-10-03,7358162,55393,43606.54551835892,37334.66276515365,123834.12145116284,208555,826,726.3812315249628,648.6430533076141,2147.4623627906976,208555
173,2020-10-04,7409200,51038,44483.1149898684,38508.47190789707,124966.90039069764,209250,695,726.6176543723932,642.8079019490526,2131.686176744186,209250
174,2020-10-05,7443947,34747,45539.411305754256,39776.629927498536,125860.20580465117,209614,364,726.2636828948755,637.7561312360324,2115.807479069768,209614
175,2020-10-06,7482538,38591,46725.021052336095,41139.004092329604,127107.67475348838,210089,475,725.270752436857,633.525011931137,2106.855739534884,210089
176,2020-10-07,7527937,45399,47985.118016855435,42595.28076385912,129066.4125023256,210796,707,723.7261958604064,630.1504808780883,2129.0427906976743,210796
177,2020-10-08,7578063,50126,49266.314961384385,44144.96548752845,131090.40561860465,211706,910,721.8453169231533,627.6670581884293,2155.0856930232558,211706
178,2020-10-09,7637139,59076,50522.152688854665,45787.38344056235,132889.70173023254,212679,973,719.9496186748996,626.1077677335225,2133.6056186046517,212679
179,2020-10-10,7694152,57013,51717.701533167856,47521.68024673022,134706.04800000004,213645,966,718.4336224719372,625.5040611657073,2116.573134883721,213645
180,2020-10-11,7750083,55931,52832.84977063699,49346.82313819598,136382.1074604651,214299,654,717.723821240137,625.8857453533446,2102.5764093023254,214299
181,2020-10-12,7796893,46810,53863.992676310394,51261.60247444887,138094.53239069768,214743,444,718.2340505067313,627.2809136191968,2099.9104,214743
182,2020-10-13,7839136,42243,54824.0009725048,53264.63360566321,139972.7037767442,215132,389,720.3218679040931,629.7158807914484,2094.815218604651,215132
183,2020-10-14,7890390,51254,55740.521801345596,55354.35907815574,142596.4005209302,215917,785,724.2503847427761,633.2151220167048,2123.7482418604654,215917
